disease,scenario,model,year,epsilon,max_l_attack,avg_attack,std_attack,max_attack_idx,delta_std,sum_attack
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.4,100.96588774610493,42.99447020786088,40.442550029680724,89,1.4334263664308733,42.99447020786088
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.2,100.97152074642824,39.02459615969708,39.01745587550984,89,1.5876720610482833,39.02459615969708
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1333,100.97422415822226,36.862051079072465,38.11546210433383,89,1.6820515753857292,36.862051079072465
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1,100.97656720404777,34.92305201422294,37.24109099920465,89,1.7736729353937433,34.92305201422294
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.08,100.97795181395284,33.88848188518583,36.76263515813558,89,1.8249363692286922,33.88848188518583
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.5333,100.96359483111044,44.38550553019195,40.93852264182185,89,1.3820256728834572,44.38550553019195
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.2667,100.96883236584999,40.83711830419114,39.6473828914349,89,1.5166628835581786,40.83711830419114
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1778,100.97271556519125,38.42576306988064,38.75786088557033,89,1.6137875276444122,38.42576306988064
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1333,100.97422415822226,36.862051079072465,38.11546210433383,89,1.6820515753857292,36.862051079072465
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1067,100.97611570965401,35.15477008579865,37.36555536511076,89,1.7615513801599898,35.15477008579865
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.6667,100.9613575005156,44.8252516439546,41.1254590476964,89,1.36499645612358,44.8252516439546
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.3333,100.96766595850912,41.9445289665968,40.08036840889336,89,1.4726196223988746,41.9445289665968
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.2222,100.97015425838079,39.769471782956956,39.23877206293775,89,1.5596992275206745,39.769471782956956
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1667,100.97296502389315,37.8148452372855,38.51848839894513,89,1.639683238149535,37.8148452372855
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.1333,100.97422415822226,36.862051079072465,38.11546210433383,89,1.6820515753857292,36.862051079072465
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.8,100.96149544479813,45.70654217699999,41.432399596911345,81,1.3336170196600736,45.70654217699999
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.4,100.96588774610493,42.99447020786088,40.442550029680724,89,1.4334263664308733,42.99447020786088
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.2667,100.96883236584999,40.83711830419114,39.6473828914349,89,1.5166628835581786,40.83711830419114
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.2,100.97152074642824,39.02459615969708,39.01745587550984,89,1.5876720610482833,39.02459615969708
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.16,100.9732537512013,37.600783724461024,38.44416120205039,89,1.6484289953336362,37.600783724461024
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.0001,100.97047458241724,43.79570584775499,38.29941931035156,56,1.492836438885878,43.79570584775499
CHIKV,SSP2-4.5,ACCESS-CM2,2060,0.5,100.96360178282633,44.16282930503341,40.81847303092496,89,1.3915457453481765,44.16282930503341
CHIKV,SSP2-4.5,ACCESS-CM2,2060,1.0,100.96303206548502,46.0512309763637,41.606517470355236,81,1.3197884472846386,46.0512309763637
CHIKV,SSP2-4.5,ACCESS-CM2,2060,10.0,100.96518196269241,40.26140759920727,41.113700927087535,81,1.476485283364281,40.26140759920727
CHIKV,SSP2-4.5,ACCESS-CM2,2060,100.0,100.97009308874819,27.081848416044053,38.09154817002936,93,1.9397543083019084,27.081848416044053
CHIKV,SSP5-8.5,MRI-ESM2-0,2060,0.4,100.92150963245446,24.920231179049008,31.760819618457788,89,2.3929256035079565,24.920231179049008
CHIKV,SSP5-8.5,MRI-ESM2-0,2060,0.2,100.92601449371514,20.779699896777345,30.147863462008786,89,2.6584409438478187,20.779699896777345
